via_osmid;calcada_cd_identificador;origem;observacao
1037952983;194638;automatico_contido;gerado automaticamente (Ipiranga): fração dentro >= 95%, osmid único no grafo
1033321893;169388;automatico_contido;gerado automaticamente (Ipiranga): fração dentro >= 95%, osmid único no grafo
1322944289;199257;automatico_contido;gerado automaticamente (Ipiranga): fração dentro >= 95%, osmid único no grafo
1377329194;188108;automatico_contido;gerado automaticamente (Ipiranga): fração dentro >= 95%, osmid único no grafo
1392752410;218991;automatico_contido;gerado automaticamente (Lapa): fração dentro >= 95%, osmid único no grafo
1445865749;219184;automatico_contido;gerado automaticamente (Lapa): fração dentro >= 95%, osmid único no grafo
1457216783;225109;automatico_contido;gerado automaticamente (Lapa): fração dentro >= 95%, osmid único no grafo
1084463311;491148;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1084463316;491148;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1038173625;179895;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1148499863;170686;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1323451384;491148;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1370987987;168361;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1215389796;178982;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872171;176335;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872155;176593;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872156;168104;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872163;168103;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872137;179061;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872148;181191;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872149;160337;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872140;178954;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1391706618;173113;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1391706619;173664;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872178;173534;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872172;169853;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
1386872173;176334;automatico_contido;gerado automaticamente (Vila Mariana): fração dentro >= 95%, osmid único no grafo
